	Share	Warehouse_cost	Warehouse_sizes	Km_cost	Total_cost	Basel	Bern	Biel	Chur	Fribourg	Geneva	Lausanne	Lucerne	Lugano	Montreux	Saint Gallen	Schaffhausen	Sion	Thun	Winterthur	Zug	Zurich
0	0.5	[5000000, 15000000]	[50000, 100000]	4	120453374	1	1	1	1	0	2	1	1	1	1	1	1	0	1	1	1	2
1	0.5	[5000000, 15000000]	[50000, 100000]	8	135636178	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
2	0.5	[5000000, 15000000]	[50000, 100000]	11	142514904	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
3	0.5	[10000000, 25000000]	[75000, 150000]	4	147872836	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	2
4	0.5	[10000000, 25000000]	[75000, 150000]	8	174345966	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	2
5	0.5	[10000000, 25000000]	[75000, 150000]	11	185393896	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	2
6	0.5	[15000000, 37500000]	[100000, 250000]	4	162579306	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	2
7	0.5	[15000000, 37500000]	[100000, 250000]	8	197658612	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	2
8	0.5	[15000000, 37500000]	[100000, 250000]	11	215516552	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	2
9	0.8	[5000000, 15000000]	[50000, 100000]	4	227400300	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2
10	0.8	[5000000, 15000000]	[50000, 100000]	8	305400675	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2
11	0.8	[5000000, 15000000]	[50000, 100000]	11	367800975	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2
12	0.8	[10000000, 25000000]	[75000, 150000]	4	234638480	2	1	1	1	0	2	1	1	1	1	1	1	0	1	1	1	2
13	0.8	[10000000, 25000000]	[75000, 150000]	8	273436856	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
14	0.8	[10000000, 25000000]	[75000, 150000]	11	292951928	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2
15	0.8	[15000000, 37500000]	[100000, 250000]	4	262418344	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	2
16	0.8	[15000000, 37500000]	[100000, 250000]	8	310069380	2	1	1	1	1	2	1	1	1	0	1	0	1	1	1	0	2
17	0.8	[15000000, 37500000]	[100000, 250000]	11	319890688	2	1	1	1	1	2	1	1	1	0	1	1	1	1	1	0	2
18	0.1	[5000000, 15000000]	[50000, 100000]	4	15000000	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
19	0.1	[5000000, 15000000]	[50000, 100000]	8	23414061	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
20	0.1	[5000000, 15000000]	[50000, 100000]	11	23414061	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
21	0.1	[10000000, 25000000]	[75000, 150000]	4	20000000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0.1	[10000000, 25000000]	[75000, 150000]	8	30015959	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
23	0.1	[10000000, 25000000]	[75000, 150000]	11	30015959	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
24	0.1	[15000000, 37500000]	[100000, 250000]	4	30000000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0.1	[15000000, 37500000]	[100000, 250000]	8	38705769	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
26	0.1	[15000000, 37500000]	[100000, 250000]	11	38705769	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
27	0.15	[5000000, 15000000]	[50000, 100000]	4	25000000	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0
28	0.15	[5000000, 15000000]	[50000, 100000]	8	32663082	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
29	0.15	[5000000, 15000000]	[50000, 100000]	11	40326164	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
30	0.15	[10000000, 25000000]	[75000, 150000]	4	30000000	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
31	0.15	[10000000, 25000000]	[75000, 150000]	8	42621523	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
32	0.15	[10000000, 25000000]	[75000, 150000]	11	55243046	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
33	0.15	[15000000, 37500000]	[100000, 250000]	4	37500000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0.15	[15000000, 37500000]	[100000, 250000]	8	55763855	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
35	0.15	[15000000, 37500000]	[100000, 250000]	11	66527710	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
36	0.2	[5000000, 15000000]	[50000, 100000]	4	40289443	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
37	0.2	[5000000, 15000000]	[50000, 100000]	8	47861710	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1
38	0.2	[5000000, 15000000]	[50000, 100000]	11	53403457	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1
39	0.2	[10000000, 25000000]	[75000, 150000]	4	53504977	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
40	0.2	[10000000, 25000000]	[75000, 150000]	8	67009954	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
41	0.2	[10000000, 25000000]	[75000, 150000]	11	79467401	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
42	0.2	[15000000, 37500000]	[100000, 250000]	4	61828965	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
43	0.2	[15000000, 37500000]	[100000, 250000]	8	78657930	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
44	0.2	[15000000, 37500000]	[100000, 250000]	11	95486895	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
