,Share,Warehouse_cost,Warehouse_sizes,Km_cost,Total_cost,Total Built,Basel,Bern,Biel,Chur,Fribourg,Geneva,Lausanne,Lucerne,Lugano,Montreux,Saint Gallen,Schaffhausen,Sion,Thun,Winterthur,Zug,Zurich
0,0.05,"[10000000, 25000000]","[50000, 100000]",8,20000000,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.06,"[10000000, 25000000]","[50000, 100000]",8,20000000,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.07,"[10000000, 25000000]","[50000, 100000]",8,30000000,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0.08,"[10000000, 25000000]","[50000, 100000]",8,30000000,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,0.09,"[10000000, 25000000]","[50000, 100000]",8,37244072,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,0.1,"[10000000, 25000000]","[50000, 100000]",8,38414061,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
6,0.11,"[10000000, 25000000]","[50000, 100000]",8,47083644,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
7,0.12,"[10000000, 25000000]","[50000, 100000]",8,47877418,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
8,0.13,"[10000000, 25000000]","[50000, 100000]",8,48705336,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
9,0.14,"[10000000, 25000000]","[50000, 100000]",8,56943103,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
10,0.15,"[10000000, 25000000]","[50000, 100000]",8,57663082,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
11,0.16,"[10000000, 25000000]","[50000, 100000]",8,58438086,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
12,0.17,"[10000000, 25000000]","[50000, 100000]",8,73314344,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
13,0.18,"[10000000, 25000000]","[50000, 100000]",8,75178318,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,0.19,"[10000000, 25000000]","[50000, 100000]",8,78226762,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
15,0.2,"[10000000, 25000000]","[50000, 100000]",8,80578886,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
16,0.21,"[10000000, 25000000]","[50000, 100000]",8,83824132,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
17,0.22,"[10000000, 25000000]","[50000, 100000]",8,85561428,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
18,0.23,"[10000000, 25000000]","[50000, 100000]",8,87630090,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
19,0.24,"[10000000, 25000000]","[50000, 100000]",8,92635228,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
